,Unnamed: 0,Zip Code,City,Street,Lat,Lon,Trulia Est,Beds,Baths,Sqft,Price_Per_Sqft,Year Built,Cluster
211,582,95003,0,340 Arthur Ave,36.96267,-121.87816,1344661.0,5.0,3.5,2592.0,291.0,1972.0,1
212,584,95003,0,341 Arthur Ave,36.96246,-121.87811,882051.0,3.0,2.0,1554.0,321.0,1959.0,0
213,592,95003,0,342 Arthur Ave,36.96115,-121.87798,1359104.0,3.0,2.5,2475.0,402.0,1997.0,1
214,593,95003,0,343 Arthur Ave,36.96142,-121.87849,968278.0,2.0,2.0,1572.0,528.0,1961.0,0
215,598,95003,0,344 Arthur Ave,36.96041,-121.87914,1049339.0,3.0,2.0,1476.0,398.0,1961.0,0
216,599,95003,0,347 Arthur Ave,36.96003,-121.87875,1205091.0,4.0,2.5,2298.0,112.0,1963.0,5
217,600,95003,0,348 Arthur Ave,36.96024,-121.87931,1083486.0,3.0,2.0,1577.0,523.0,1974.0,5
218,601,95003,0,355 Arthur Ave,36.95972,-121.8792,1241199.0,4.0,3.5,1940.0,349.0,1963.0,5
219,602,95003,0,6195 Aster Ln,36.96012,-121.87951,1065331.0,3.0,2.0,1485.0,203.0,1976.0,0
220,603,95003,0,3006 Atherton Dr,36.96,-121.87973,1202940.0,4.0,2.5,2126.0,416.0,1965.0,5
221,604,95003,0,3010 Atherton Dr,36.95961,-121.87943,1321183.0,3.0,3.0,2941.0,192.0,1963.0,1
